Nike;Nike_AirMax95_men_39;Black and Red;AirMax95;2015;Usual;М;39;2000;seasonsale;Lubyanka;Мужские кроссовки Nike выбирают сильные и уверенные в себе мужчины. Nike – кроссовки для больших и маленьких побед. Подъем устроен таким образом, что с легкостью можно использовать эти кроссовки для повседневной носки. Нога будет меньше уставать за счет инновационных материалов и облегченной подошвы.
Nike;Nike_dual fusionTR4_women_37;Pink;Dual Fusion;2016;Run;W;37;3000;;Tverskaya;"Яркие, удобные, неординарные, именно так выглядят идеальные кроссовки. Специалисты Nike ежедневно трудятся над новыми разработками, совершенствуют технологии, находят революционные решения.  Кроссовки Nike – это: превосходная амортизация, легкость движения, оптимальное распределение нагрузки, анатомическая стелька, абсолютное сцепление."
Nike;nike_lunrguide_women_36;Orange;LunarGuide Orange;2014;Driving;W;36;4500;;Park Kultury;Nike – это обувь, придуманная специально для спортсменов. Со временем ее оценили не только профи, но и обычные люди, для которых важны свобода движения и удобство. 
Nike;nike_md_runner2_men_41;Dark blue;Md_Runner;2015;Run;M;41;6500;;Park Pobedy;Кроссовки Nike прошли свой яркий путь от стадионов до мегаполисов. Мужская коллекция Nike не просто набор модных моделей, а целая философия и особое отношение к жизни. Бренд создает обувь для настоящих победителей, и главная победа — победа над собой: своей ленью и апатией. Нет времени раздумывать — JUST DO IT.
Nike;nike_tiempo_94_MID_men_42;Grey;LunarGuide;2014;Usual;M;42;3000;seasonsale;Lubyanka;Кроссовки Nike прошли свой яркий путь от стадионов до мегаполисов. Мужская коллекция Nike не просто набор модных моделей, а целая философия и особое отношение к жизни. Бренд создает обувь для настоящих победителей, и главная победа — победа над собой: своей ленью и апатией. Нет времени раздумывать — JUST DO IT.
Nike;nike-air-max-1-bespoke-patch_men_40;Black;AirMax;2015;Usual;M;40;4000;;Tverskaya;"Технология Air в свое время произвела настоящую революцию. Суть в том, что в кроссовок вставляется специальная полиуретановая подушечка, наполненная инертным газом. Когда на нее приходится нагрузка, подушечка сжимается, а затем возвращается в исходное положение. Благодаря этой технологии, кроссовки обладают: амортизирующим эффектом, легкостью, высокой прочностью."
Nike;Nike_StreatBeat_women_36;Green;StreetBeat;2016;Run;W;36;3000;;Park Pobedy;Nike Streat Beat не только выглядят потрясающе, но и обеспечивают превосходный комфорт, снижая нагрузку на ноги. 
Adidas;shoes.19;Black;StanSmith;2015;Usual;M;40;5000;;Dinamo;Если часы – то Tissot, если машина – то Mercedes, если кроссовки – то Adidas. Этот известнейший спортивный бренд не нуждается в особом представлении, его знают и любят на всех континентах. Adidas – это классика спортивного жанра, которую выбирают люди разных возрастов, профессий и социальной принадлежности. Спортсмены и молодые стиляги, учителя и бизнесмены, политики и домохозяйки ценят этот бренд за неизменно высокое качество и комфорт.
Adidas;shoes.1;Red;Response Plus;2015;Usual;M;41;3500;;Akademicheskaya;универсальные ретро кроссовки из далёких 90-х, верх из натуральной замши, нейлона и синтетики, полиуретановый каркас в пятке, промежуточная подошва EVA c поддержкой внутренней части стопы, язычок Burrito, амортизатор в пятке Soft-Cell, стабилизация средней части стопы Torsion, износостойкий протектор, стелька EVA с боковой поддержкой и вентиляцией, пятка с мягким подкладом изнутри, круглые шнурки
Adidas;shoes.2;White;Ultra Boost 16;2016;Run;W;39;2500;;Strogino;Эти кроссовки удобны как для путешествий, походов в клуб, так и для прогулок по городу. ЗетИксы прекрасно справятся с марафонскими дистанциями, а уникальная прослойка EVA способна максимально защитить стопу во время бега. Надежная фиксация, предохранит голеностопный сустав от травм. Стильный и яркий цвет кроссовок выделит владельца среди остальных. Это именна та модель, которая будет актуальна всегда.
Adidas;shoes.4;White;Ultra Boost 15;2015;Run;M;42;4000;;Strogino;профессиональные летние кроссовки для активного отдыха и спорта, верх из 2-х слойной полиэстеровой сетки со светоотражающими синтетическими вставками, технология Geofit+ фиксирует пятку, ахиллово сухожилие и придаёт доп. комфорт и облегание благодарю специальным мягким вставкам запоминающие форму стопы, технология Torsion поддерживает и защищает среднюю часть стопы, технологии Formotion и вставка Adiprene смягчают все движения и позволяют ноге быстрее адаптироваться к новой поверхности, вставка в носовой части Adiprene+ улучшает сгибаемость и увеличивает толчковый эффект при ходьбе и беге, технология Active Formotion помогает двигаться ноге более естественно благодаря растягивающимся специальным вставкам, износостойкая подошва AdiWear и Continental, амортизационная многослойная стелька Ortholite с боковой поддержкой и специальным мягким верхом, под стелькой амортизационный подклад adiLITE, перфорированные шнурки, отсек под датчик miCoach
Adidas;shoes.5;Grey;Pure Boost 14;2014;Football;M;40;5000;;Dinamo;"Мужские модели этой линии были разработаны в 1984 г. Изначально они предназначались для забегов, которые производятся на длинные дистанции. Несколько позже модели линейки «ZX» стали разрабатываться для всех бегунов. При этом они обеспечивают непревзойденный комфорт и удобство. Отличительными особенностями моделей «ZX» являются"
Adidas;shoes.6;Grey;Pure Boost 16;2016;Run;W;37;6000;seasonsale;Tverskaya;"Давайте подробнее рассмотрим характеристики, за которые так любят эту модель:
Adidas;shoes.7;Grey;StanSmith 15;2015;Football;M;42;4500;;Lubyanka;профессиональные летние кроссовки для активного отдыха и спорта, верх из 2-х слойной полиэстеровой сетки со светоотражающими синтетическими вставками, технология Geofit+ фиксирует пятку, ахиллово сухожилие и придаёт доп. комфорт и облегание благодарю специальным мягким вставкам запоминающие форму стопы, технология Torsion поддерживает и защищает среднюю часть стопы, технологии Formotion и вставка Adiprene смягчают все движения и позволяют ноге быстрее адаптироваться к новой поверхности, вставка в носовой части Adiprene+ улучшает сгибаемость и увеличивает толчковый эффект при ходьбе и беге, технология Active Formotion помогает двигаться ноге более естественно благодаря растягивающимся специальным вставкам, износостойкая подошва AdiWear и Continental, амортизационная многослойная стелька Ortholite с боковой поддержкой и специальным мягким верхом, под стелькой амортизационный подклад adiLITE, перфорированные шнурки, отсек под датчик miCoach
Adidas;shoes.8;Grey;StanSmith 14;2014;Run;M;42;2000;;Tverskaya;"Мужские модели этой линии были разработаны в 1984 г. Изначально они предназначались для забегов, которые производятся на длинные дистанции. Несколько позже модели линейки «ZX» стали разрабатываться для всех бегунов. При этом они обеспечивают непревзойденный комфорт и удобство. Отличительными особенностями моделей «ZX» являются"
Adidas;shoes.9;White;Lite Racer White 16;2016;Run;W;36;3000;;Tverskaya;профессиональные летние кроссовки для активного отдыха и спорта, верх из 2-х слойной полиэстеровой сетки со светоотражающими синтетическими вставками, технология Geofit+ фиксирует пятку, ахиллово сухожилие и придаёт доп. комфорт и облегание благодарю специальным мягким вставкам запоминающие форму стопы, технология Torsion поддерживает и защищает среднюю часть стопы, технологии Formotion и вставка Adiprene смягчают все движения и позволяют ноге быстрее адаптироваться к новой поверхности, вставка в носовой части Adiprene+ улучшает сгибаемость и увеличивает толчковый эффект при ходьбе и беге, технология Active Formotion помогает двигаться ноге более естественно благодаря растягивающимся специальным вставкам, износостойкая подошва AdiWear и Continental, амортизационная многослойная стелька Ortholite с боковой поддержкой и специальным мягким верхом, под стелькой амортизационный подклад adiLITE, перфорированные шнурки, отсек под датчик miCoach
Adidas;shoes.10;Black;Pure Boost Grey 16;2016;Run;M;43;3500;seasonsale;Dinamo;Эти кроссовки удобны как для путешествий, походов в клуб, так и для прогулок по городу. ЗетИксы прекрасно справятся с марафонскими дистанциями, а уникальная прослойка EVA способна максимально защитить стопу во время бега. Надежная фиксация, предохранит голеностопный сустав от травм. Стильный и яркий цвет кроссовок выделит владельца среди остальных. Это именна та модель, которая будет актуальна всегда.
Adidas;shoes.11;Grey;Pure Boost Grey 16;2016;Run;M;44;3400;;Dinamo;"Давайте подробнее рассмотрим характеристики, за которые так любят эту модель:
Adidas;shoes.12;White;Lite Racer 15;2015;Run;M;45;2400;;Park Kultury;"Давайте подробнее рассмотрим характеристики, за которые так любят эту модель:
Adidas;shoes.13;White;Ultra Boost;2014;Run;M;40;7100;promo;Akademicheskaya;"Мужские модели этой линии были разработаны в 1984 г. Изначально они предназначались для забегов, которые производятся на длинные дистанции. Несколько позже модели линейки «ZX» стали разрабатываться для всех бегунов. При этом они обеспечивают непревзойденный комфорт и удобство. Отличительными особенностями моделей «ZX» являются следующие:
Adidas;shoes.15;White;Lite Racer 16;2016;Run;W;38;3700;;Akademicheskaya;"Модель отличается отличными ароматизирующими свойствами.
Adidas;shoes.17;Grey;Response Plus 15;2015;Run;M;41;4200;promo;Park Kultury;"Давайте подробнее рассмотрим характеристики, за которые так любят эту модель:
Adidas;shoes.18;Blue;Response Plus 16;2016;Usual;M;42;4300;;Strogino;универсальные ретро кроссовки из далёких 90-х, верх из натуральной замши, нейлона и синтетики, полиуретановый каркас в пятке, промежуточная подошва EVA c поддержкой внутренней части стопы, язычок Burrito, амортизатор в пятке Soft-Cell, стабилизация средней части стопы Torsion, износостойкий протектор, стелька EVA с боковой поддержкой и вентиляцией, пятка с мягким подкладом изнутри, круглые шнурки
